INFO:root:Start SimCLR training for 200 epochs.
INFO:root:Training with gpu: False.
DEBUG:root:Epoch: 0	Loss: 4.406802177429199	Top1 accuracy: 18.9453125
DEBUG:root:Epoch: 1	Loss: 3.0175161361694336	Top1 accuracy: 38.671875
DEBUG:root:Epoch: 2	Loss: 2.604074716567993	Top1 accuracy: 47.65625
DEBUG:root:Epoch: 3	Loss: 2.2647151947021484	Top1 accuracy: 57.8125
DEBUG:root:Epoch: 4	Loss: 2.0555167198181152	Top1 accuracy: 59.9609375
DEBUG:root:Epoch: 5	Loss: 1.860258936882019	Top1 accuracy: 56.640625
DEBUG:root:Epoch: 6	Loss: 1.9618293046951294	Top1 accuracy: 59.5703125
DEBUG:root:Epoch: 7	Loss: 1.6391098499298096	Top1 accuracy: 64.84375
DEBUG:root:Epoch: 8	Loss: 1.765761137008667	Top1 accuracy: 64.2578125
DEBUG:root:Epoch: 9	Loss: 1.7818825244903564	Top1 accuracy: 65.234375
DEBUG:root:Epoch: 10	Loss: 1.7859958410263062	Top1 accuracy: 64.0625
DEBUG:root:Epoch: 11	Loss: 1.6013528108596802	Top1 accuracy: 72.265625
DEBUG:root:Epoch: 12	Loss: 1.7725887298583984	Top1 accuracy: 66.9921875
DEBUG:root:Epoch: 13	Loss: 1.724685788154602	Top1 accuracy: 71.875
DEBUG:root:Epoch: 14	Loss: 1.4644925594329834	Top1 accuracy: 69.7265625
DEBUG:root:Epoch: 15	Loss: 1.5082993507385254	Top1 accuracy: 72.8515625
DEBUG:root:Epoch: 16	Loss: 1.222634196281433	Top1 accuracy: 67.7734375
DEBUG:root:Epoch: 17	Loss: 1.3561437129974365	Top1 accuracy: 71.2890625
DEBUG:root:Epoch: 18	Loss: 1.3510524034500122	Top1 accuracy: 74.21875
DEBUG:root:Epoch: 19	Loss: 1.6249213218688965	Top1 accuracy: 75.78125
DEBUG:root:Epoch: 20	Loss: 1.1117976903915405	Top1 accuracy: 73.046875
DEBUG:root:Epoch: 21	Loss: 1.4407113790512085	Top1 accuracy: 74.21875
DEBUG:root:Epoch: 22	Loss: 1.4504517316818237	Top1 accuracy: 76.953125
DEBUG:root:Epoch: 23	Loss: 1.3399560451507568	Top1 accuracy: 70.1171875
DEBUG:root:Epoch: 24	Loss: 1.1591156721115112	Top1 accuracy: 74.21875
DEBUG:root:Epoch: 25	Loss: 1.462656021118164	Top1 accuracy: 75.1953125
DEBUG:root:Epoch: 26	Loss: 1.160622477531433	Top1 accuracy: 75.9765625
DEBUG:root:Epoch: 27	Loss: 0.9857535362243652	Top1 accuracy: 76.7578125
DEBUG:root:Epoch: 28	Loss: 1.216840147972107	Top1 accuracy: 79.6875
DEBUG:root:Epoch: 29	Loss: 1.195657730102539	Top1 accuracy: 78.90625
DEBUG:root:Epoch: 30	Loss: 1.3388550281524658	Top1 accuracy: 77.34375
DEBUG:root:Epoch: 31	Loss: 1.1139423847198486	Top1 accuracy: 78.3203125
DEBUG:root:Epoch: 32	Loss: 1.331335186958313	Top1 accuracy: 76.5625
DEBUG:root:Epoch: 33	Loss: 1.4092285633087158	Top1 accuracy: 77.734375
DEBUG:root:Epoch: 34	Loss: 1.1911826133728027	Top1 accuracy: 77.9296875
DEBUG:root:Epoch: 35	Loss: 1.108843207359314	Top1 accuracy: 72.265625
DEBUG:root:Epoch: 36	Loss: 1.205968976020813	Top1 accuracy: 78.90625
DEBUG:root:Epoch: 37	Loss: 1.1775680780410767	Top1 accuracy: 80.078125
DEBUG:root:Epoch: 38	Loss: 1.2538654804229736	Top1 accuracy: 77.9296875
DEBUG:root:Epoch: 39	Loss: 1.1051216125488281	Top1 accuracy: 80.6640625
DEBUG:root:Epoch: 40	Loss: 1.182492971420288	Top1 accuracy: 79.4921875
DEBUG:root:Epoch: 41	Loss: 0.9371857047080994	Top1 accuracy: 75.0
DEBUG:root:Epoch: 42	Loss: 1.2386609315872192	Top1 accuracy: 77.1484375
DEBUG:root:Epoch: 43	Loss: 1.0453007221221924	Top1 accuracy: 76.5625
DEBUG:root:Epoch: 44	Loss: 1.180436134338379	Top1 accuracy: 79.6875
DEBUG:root:Epoch: 45	Loss: 1.0364110469818115	Top1 accuracy: 78.7109375
